i,t,Sg,Se,Pop,Sg_pc,Se_pc
24,2015,644783.75,68898.98,3442175,0.1873187011119423,0.02001611771626951
24,2016,651680.24,54800.4,3474998,0.1875339899476201,0.015769908356781787
24,2017,661020.14,54338.48,3507003,0.18848576405551978,0.015494278162864418
24,2018,608089.12,100968.47,3479010,0.17478797703944512,0.02902218447201934
24,2019,620525.15,98042.81,3506853,0.1769464388726873,0.027957490661855516
24,2020,577782.81,76160.0,3534165,0.16348495613532477,0.021549644682690255
24,2021,595237.02,76950.0,3560903,0.16715900994775765,0.021609687205745284
24,2022,617546.07,63235.97,3560903,0.17342400789911996,0.017758408471109717
24,2023,671883.03,53939.51,3560903,0.18868332835800358,0.015147705511776086
25,2006,281008.49,36596.95,3623215,0.07755777396593909,0.010100684060978991
25,2007,301021.96,63588.61,3682910,0.0817348129604036,0.017265860420156886
25,2008,341331.35,89659.66,3742604,0.09120156714415951,0.023956491255820816
25,2009,359084.68,112976.62,3769977,0.09524850682112915,0.029967456034877667
25,2010,444825.64,86559.83,3780646,0.11765863294262409,0.022895513094852046
25,2011,511689.33,58018.8,3791315,0.13496354958635726,0.015303080857169611
25,2012,588349.21,44717.21,3815171,0.15421306410643193,0.011720892720142819
25,2013,625181.69,54253.8,3914421,0.1597124300119992,0.013859980824750328
25,2014,686269.95,69928.45,3943885,0.17400861079874286,0.01773085422115503
25,2015,662396.75,131568.57,3972202,0.16675807272641222,0.033122326105268565
25,2016,694589.7,85045.44,3999415,0.17367282465060513,0.021264469928727076
25,2017,713021.85,76998.35,4025558,0.17712373042445295,0.019127373149262786
25,2018,637788.09,165184.08,3996496,0.159586820554806,0.04133222703087905
25,2019,653092.79,176961.58,4018127,0.16253662216251502,0.04404081304548114
25,2020,621657.74,146229.6,4039277,0.15390322079916777,0.036201924255256576
25,2021,663078.18,128742.35,4059905,0.16332357037910986,0.03171068042232515
25,2022,698823.66,124006.86,4059905,0.17212808181472228,0.030544276282326803
25,2023,760013.56,126411.4,4059905,0.1871998384198645,0.031136541372273487
26,2006,637645.57,107508.49,8502603,0.07499416002370098,0.01264418555117768
26,2007,621960.22,163306.06,8618400,0.07216655295646524,0.01894853569107955
26,2008,676940.04,280705.41,8734196,0.07750456252641914,0.03213866622640481
26,2009,701324.89,365487.16,8810256,0.07960323627372462,0.041484283771095865
26,2010,898932.82,315407.47,8837581,0.10171706714767309,0.035689344176873736
26,2011,1106865.97,184815.72,8864906,0.1248593013845832,0.020848018016209082
26,2012,1290226.16,163341.85,8931028,0.14446558223756548,0.018289255167490238
26,2013,1379495.06,153903.01,9208550,0.14980589343599154,0.01671305580140196
26,2014,1497221.78,148197.52,9277727,0.16137808107524612,0.015973472812899108
26,2015,1377723.97,278681.34,9345173,0.14742626701506756,0.029820886140898624
26,2016,1441149.79,205719.9,9410336,0.15314541266114196,0.021861057883586728
26,2017,1494982.01,208027.6,9473266,0.1578106230733941,0.0219594382760919
26,2018,1311137.67,372304.88,9496294,0.13806835277003848,0.03920528155509929
26,2019,1367866.54,347933.94,9557071,0.14312612514859416,0.03640591767080102
26,2020,1273074.01,264071.08,9616621,0.13238267474615045,0.02745986142117902
26,2021,1317326.97,241918.95,9674793,0.13616073956311003,0.02500507762801747
26,2022,1354426.64,216191.71,9674793,0.13999541282175235,0.022345874480208517
26,2023,1464095.65,214221.41,9674793,0.15133095354081477,0.02214222154417154
27,2006,168899.39,34903.25,3050652,0.05536501377410469,0.011441242724506105
27,2007,163490.35,51462.02,3089106,0.05292481060863564,0.01665919524936988
27,2008,172374.63,83104.32,3127560,0.05511473161186356,0.026571614933046852
27,2009,179400.47,104514.39,3156108,0.056842310212451536,0.033114959944336504
27,2010,245327.83,76100.45,3149746,0.07788813129693632,0.02416082122177471
27,2011,303096.08,53238.36,3143384,0.09642349773365265,0.016936638985246475
27,2012,363832.65,39553.57,3165472,0.11493788288128912,0.012495315074655533
27,2013,400517.97,34967.08,3300935,0.12133470365214703,0.010593083474833646
27,2014,441612.03,35657.59,3321730,0.13294639540239575,0.01073464429679715
27,2015,425872.69,58705.0,3340932,0.12747122359868443,0.017571444135947693
27,2016,453962.27,31762.0,3358963,0.13514952978047096,0.009455894572223629
27,2017,455660.7,35056.88,3375823,0.1349776632246418,0.010384691377480394
27,2018,417718.71,77575.13,3322820,0.12571210899176002,0.023346172829102993
27,2019,437071.22,73609.02,3337357,0.13096328022444106,0.022056082103293115
27,2020,423867.37,64922.41,3351543,0.12646932174225423,0.01937090170109708
27,2021,439772.33,69661.78,3365351,0.1306765119002446,0.020699707103360096
27,2022,466946.34,67536.72,3365351,0.13875115552582779,0.020068254396049624
27,2023,505126.35,64380.85,3365351,0.1500961861036189,0.019130500800659426
28,2006,170814.53,12774.68,2000738,0.08537576134406404,0.0063849839409257985
28,2007,176382.29,16849.14,2000056,0.08818867571707993,0.008424334118644678
28,2008,197333.27,29434.48,1999374,0.09869752732605305,0.01472184793840472
28,2009,210071.2,52496.42,2019679,0.10401217223132983,0.02599245721721125
28,2010,259063.29,39229.34,2054749,0.12608026089804644,0.019092035085550595
28,2011,298401.15,25245.97,2089819,0.14278803571026966,0.012080457685569899
28,2012,340092.12,21122.42,2110867,0.16111489733839224,0.010006513911108563
28,2013,366897.07,20763.23,2195662,0.16710088802374864,0.009456478273978417
28,2014,403098.47,21510.9,2219574,0.18161073701530112,0.009691454306096576
28,2015,390746.96,45478.3,2242937,0.17421218696735577,0.020276227107582603
28,2016,398251.99,25192.3,2265779,0.17576824129802598,0.011118604241631686
28,2017,401427.9,22413.35,2288116,0.1754403622893245,0.009795547952988396
28,2018,370116.04,48435.7,2278308,0.16245215308904679,0.021259504860624636
28,2019,380080.42,54119.38,2298696,0.16534610057180243,0.02354351336583872
28,2020,357524.12,40584.87,2318822,0.15418351214539106,0.01750236542520297
28,2021,366043.71,36890.18,2338474,0.15653101552550938,0.015775321855192745
28,2022,381713.74,32982.17,2338474,0.16323197948747772,0.014104142273978671
28,2023,418885.73,33878.36,2338474,0.17912781155574103,0.014487379376465164
29,2006,1006425.23,95525.76,13950146,0.07214442271786976,0.006847653063989437
29,2007,988911.79,173953.49,14226354,0.06951266571884827,0.01222755247057679
29,2008,1050094.4,369506.46,14502563,0.07240750479760025,0.025478700557963446
